"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MSTRG.20191",2.4068977784099,4.77817074211377,12.4128462497312,4.89018347378762e-09,0.000238096429760898,8.10168190243427
"MSTRG.18417",4.46511562547507,4.37033759192485,11.802991724395,9.44874175804522e-09,0.000238096429760898,7.40104116373375
"MSTRG.7906",1.59406713657033,5.74121855952117,11.5476056851524,1.25549591212046e-08,0.000238096429760898,7.09881767929135
"MSTRG.555",5.61251560089778,5.11867134671466,10.2501372531584,5.78609854531051e-08,0.000822971261345878,5.47573499865173
"MSTRG.20192",1.91064416853801,4.40722473554552,10.0659221958507,7.27618790754711e-08,0.000827928317248156,5.23256768073679
"MSTRG.3621",3.93717831734231,4.42483372741601,9.34186716735418,1.84949384897464e-07,0.00175372089249524,4.2433972272587
"MSTRG.54",3.84000947640322,6.43861300450191,8.63110863496199,4.87474855111396e-07,0.00396198670455038,3.21729527998066
"MSTRG.7909",1.63115897170215,1.98433396314006,8.1075269635934,1.03249072082545e-06,0.00734268682249029,2.42395502570057
"MSTRG.16942",1.60486746882981,7.24206450961801,7.69924017669439,1.89663563777956e-06,0.011989476815577,1.78204695840919
"MSTRG.7908",1.12438501223304,0.970633526805128,7.62532199283511,2.12207745462004e-06,0.0120731352625698,1.66358888664077
"MSTRG.6975",2.74683970322715,4.1853017855545,6.89372030220092,6.70004862247455e-06,0.031765488856537,0.452970222972155
